event_type,event_coordsys,hpc_x,hpc_y,hgc_x,hgc_y,start_time,end_time,frm_name,obs_observatory,obs_instrument,kb_archivid,HER event summary
FL,UTC-HGS-TOPO,16.00068,-223.218,34.493617,-20,2011-02-14T04:29:00,2011-02-14T05:09:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172633_20110214042900,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172633_20110214042900
FL,UTC-HGS-TOPO,-470.1804,486.3882,165.03548999999998,24,2011-03-01T02:30:00,2011-03-01T04:40:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172907_20110301023000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172907_20110301023000
FL,UTC-HGS-TOPO,0.0,-66.6528,-80.51257,0,2010-11-05T12:43:00,2010-11-05T14:06:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20101105_163615_20101105124300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20101105_163615_20101105124300
FL,UTC-HGS-TOPO,328.35900000000004,-229.1394,33.086729999999996,-20,2011-02-15T19:30:00,2011-02-15T20:53:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172647_20110215193000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172647_20110215193000
FL,UTC-HGS-TOPO,0.0,-90.0402,28.028327,0,2011-07-28T02:19:00,2011-07-28T02:29:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110907_162923_20110728021900,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110907_162923_20110728021900
FL,UTC-HGS-TOPO,0.0,122.5374,116.62006000000001,0,2011-03-07T05:00:00,2011-03-07T05:19:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173014_20110307050000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173014_20110307050000
FL,UTC-HGS-TOPO,-754.2,250.7436,163.50653,16,2011-06-16T10:13:00,2011-06-16T10:29:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110907_162732_20110616101300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110907_162732_20110616101300
FL,UTC-HGS-TOPO,0.0,122.454,100.37919000000001,0,2011-03-08T10:35:00,2011-03-08T10:55:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173034_20110308103500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173034_20110308103500
FL,UTC-HGS-TOPO,889.308,-304.4136,-166.92622,-20,2011-03-07T07:49:00,2011-03-07T07:56:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173017_20110307074900,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173017_20110307074900
FL,UTC-HGS-TOPO,683.628,373.4892,64.416166,18,2011-03-14T19:30:00,2011-03-14T19:54:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173140_20110314193000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173140_20110314193000
