event_type,event_coordsys,hpc_x,hpc_y,hgc_x,hgc_y,start_time,end_time,frm_name,obs_observatory,obs_instrument,kb_archivid,HER event summary
FL,UTC-HGS-TOPO,594.7092,363.0318,98.359163,23,2010-06-12T00:30:00,2010-06-12T01:02:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20100613_145809_20100612003000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20100613_145809_20100612003000
FL,UTC-HGS-TOPO,691.788,348.2532,102.652958,22,2010-06-12T09:02:00,2010-06-12T09:22:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20100623_062725_20100612090200,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20100623_062725_20100612090200
FL,UTC-HGS-TOPO,851.448,-400.4094,123.365342,-25,2010-06-13T05:30:00,2010-06-13T05:44:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20100623_024446,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20100623_024446
FL,UTC-HGS-TOPO,-521.0532,96.3078,-9.269204,11,2010-08-07T17:55:00,2010-08-07T18:47:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20100808_043835_20100807175500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20100808_043835_20100807175500
FL,UTC-HGS-TOPO,866.16,209.1792,-10.28914,15,2010-08-15T18:23:00,2010-08-15T18:37:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20100815_203828_20100815182300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20100815_203828_20100815182300
FL,UTC-HGS-TOPO,397.803,-410.394,-154.274,-20,2010-10-16T19:07:00,2010-10-16T19:15:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110907_161901_20101016190700,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110907_161901_20101016190700
FL,UTC-HGS-TOPO,0,-75.861,-10.0322,0,2010-10-31T04:26:00,2010-10-31T04:36:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20101031_063630_20101031042600,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20101031_063630_20101031042600
FL,UTC-HGS-TOPO,-882.558,-345.576,-149.25151,-20,2010-11-04T23:30:00,2010-11-05T00:12:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20101105_193602_20101104233000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20101105_193602_20101104233000
FL,UTC-HGS-TOPO,-882.558,-345.576,-149.25151,-20,2010-11-04T23:30:00,2010-11-05T00:12:00,SEC standard,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20101105_043605_20101104233000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20101105_043605_20101104233000
FL,UTC-HGS-TOPO,0,-67.5366,-73.96572,0,2010-11-05T00:48:00,2010-11-05T01:02:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20101105_023602_20101105004800,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20101105_023602_20101105004800
